Name:	SC LIFUN CELLS CYCLING JSC27_28
Channel:	11
Tester	Maccor #2
Procedure	SC_CYCLING4.000
Description	SCLIFUN4.3V_JAN2021
Started	1/21/2021 12:33:20 PM
SCap	0.000000
C Rate	0.2
Ch. max. V	8.00 V
DisCh. min. V	-2.00 V
Ch. max. I	5.000 A
DisCh. max. I	5.000 A
Comment:	JSC28_CH12_JSC27_CH11

#		Ch. Cap.	Dis. Cap.	
	[Cycle no.]	[Ah]	[Ah]	
1	1	0.14516400	0.24561800	
2	2	0.24405500	0.24539900	
3	3	0.24385400	0.24519100	
4	4	0.24337400	0.24472700	
5	5	0.24313000	0.24457500	
6	6	0.24307900	0.24489200	
7	7	0.24335500	0.24479400	
8	8	0.24312900	0.24465100	
9	9	0.24303900	0.24455500	
10	10	0.24284900	0.24433300	
11	11	0.24263500	0.24416400	
12	12	0.24250600	0.24408100	
13	13	0.24240400	0.24387200	
14	14	0.24200300	0.24391300	
15	15	0.24224000	0.24388900	
16	16	0.24221400	0.24379000	
17	17	0.24193800	0.24333800	
18	18	0.24156600	0.24317900	
19	19	0.24139300	0.24301100	
20	20	0.24118200	0.24281100	
21	21	0.24104200	0.24271500	
22	22	0.24097700	0.24263100	
23	23	0.24081900	0.24236300	
24	24	0.24055500	0.24222600	
25	25	0.24047900	0.24215000	
26	26	0.24048200	0.24212300	
27	27	0.24028300	0.24191200	
28	28	0.24020000	0.24207700	
29	29	0.24045000	0.24225400	
30	30	0.24056000	0.24225800	
31	31	0.24056000	0.24217300	
32	32	0.24037200	0.24206900	
33	33	0.24025300	0.24191000	
34	34	0.24019600	0.24187200	
35	35	0.24004900	0.24173000	
36	36	0.23991100	0.24151700	
37	37	0.23972500	0.24149700	
38	38	0.23971300	0.24140300	
39	39	0.23957300	0.24111200	
40	40	0.23928900	0.24099900	
41	41	0.23924800	0.24091200	
42	42	0.23912200	0.24077800	
43	43	0.23901100	0.24068800	
44	44	0.23894900	0.24065300	
45	45	0.23895100	0.24058000	
46	46	0.23877600	0.24041400	
47	47	0.23870500	0.24035100	
48	48	0.23859400	0.24033500	
49	49	0.23854600	0.24006800	
50	50	0.23818100	0.23992300	
51	51	0.23814100	0.23991400	
52	52	0.23817700	0.23985300	
53	53	0.23798500	0.23977800	
54	54	0.23804500	0.23987600	
55	55	0.23812200	0.23990900	
56	56	0.23820900	0.24004800	
57	57	0.23825700	0.23999000	
58	58	0.23828200	0.23989900	
59	59	0.23812400	0.23984000	
60	60	0.23809800	0.23975500	
61	61	0.23804300	0.23974300	
62	62	0.23799000	0.23964600	
63	63	0.23795500	0.23963500	
64	64	0.23792700	0.23964000	
65	65	0.23792200	0.23957800	
66	66	0.23782100	0.23951600	
67	67	0.23775500	0.23948600	
68	68	0.23773400	0.23932900	
69	69	0.23748000	0.23925100	
70	70	0.23753500	0.23925700	
71	71	0.23747700	0.23913800	
72	72	0.23735300	0.23908300	
73	73	0.23733900	0.23904200	
74	74	0.23726800	0.23893900	
75	75	0.23718400	0.23882300	
76	76	0.23705700	0.23872400	
77	77	0.23695700	0.23860600	
78	78	0.23686000	0.23848200	
79	79	0.23673700	0.23834100	
80	80	0.23656800	0.23813900	
81	81	0.23635500	0.23785500	
82	82	0.23604200	0.23772700	
83	83	0.23597600	0.23763400	
84	84	0.23586200	0.23760100	
85	85	0.23573800	0.23739800	
86	86	0.23562500	0.23738000	
87	87	0.23559900	0.23725400	
88	88	0.23543500	0.23721400	
89	89	0.23543000	0.23711400	
90	90	0.23535400	0.23708600	
91	91	0.23528600	0.23694900	
92	92	0.23515500	0.23693700	
93	93	0.23520700	0.23697800	
94	94	0.23515600	0.23678000	
95	95	0.23499000	0.23666100	
96	96	0.23487700	0.23659000	
97	97	0.23481100	0.23646800	
98	98	0.23461700	0.23629900	
99	99	0.23452300	0.23621500	
100	100	0.23446800	0.23615400	
101	101	0.22527500	0.24562500	
102	102	0.23385600	0.24479800	
103	103	0.24224800	0.23571100	
104	104	0.23417200	0.23580100	
105	105	0.23414600	0.23567800	
106	106	0.23384900	0.23547200	
107	107	0.23371700	0.23547300	
108	108	0.23377600	0.23550700	
109	109	0.23360800	0.23523100	
110	110	0.23344300	0.23523000	
111	111	0.23349300	0.23525400	
112	112	0.23340300	0.23502900	
113	113	0.23324100	0.23498400	
114	114	0.23326100	0.23500500	
115	115	0.23325600	0.23496600	
116	116	0.23316400	0.23486400	
117	117	0.23310400	0.23480400	
118	118	0.23312100	0.23479800	
119	119	0.23297300	0.23462900	
120	120	0.23284900	0.23455500	
121	121	0.23283700	0.23453400	
122	122	0.23272200	0.23439100	
123	123	0.23253900	0.23429900	
124	124	0.23256400	0.23430400	
125	125	0.23218100	0.23380100	
126	126	0.23225500	0.23399400	
127	127	0.23225400	0.23396600	
128	128	0.23225600	0.23396500	
129	129	0.23211200	0.23386200	
130	130	0.23211000	0.23389000	
131	131	0.23212400	0.23383300	
132	132	0.23199300	0.23368700	
133	133	0.23190900	0.23364500	
134	134	0.23190800	0.23364500	
135	135	0.23188400	0.23353900	
136	136	0.23174200	0.23346400	
137	137	0.23168200	0.23341700	
138	138	0.23167000	0.23330900	
139	139	0.23140100	0.23309500	
140	140	0.23139100	0.23316400	
141	141	0.23148800	0.23316900	
142	142	0.23124900	0.23291900	
143	143	0.23114400	0.23290300	
144	144	0.23109400	0.23287200	
145	145	0.23106500	0.23274800	
146	146	0.23086000	0.23265200	
147	147	0.23086900	0.23270800	
148	148	0.23078700	0.23042600	
149	149	0.22862400	0.23252000	
150	150	0.23063100	0.23246200	
151	151	0.23073300	0.23248800	
152	152	0.23060800	0.23238100	
153	153	0.23053600	0.23236100	
154	154	0.23059900	0.23239300	
155	155	0.23052900	0.23224400	
156	156	0.23048200	0.23227100	
157	157	0.23049800	0.23224500	
158	158	0.23041800	0.23212400	
159	159	0.23026800	0.23200800	
160	160	0.23016100	0.23190300	
161	161	0.23017800	0.23188200	
162	162	0.23000800	0.23177800	
163	163	0.22995900	0.23174900	
164	164	0.22997000	0.23167700	
165	165	0.22970200	0.23147900	
166	166	0.22966600	0.23150500	
167	167	0.22974300	0.23160300	
168	168	0.22994600	0.23158200	
169	169	0.22979600	0.23149000	
170	170	0.22971300	0.23150300	
171	171	0.22966400	0.23139000	
172	172	0.22957300	0.23119500	
173	173	0.22946800	0.23121500	
174	174	0.22952500	0.23138100	
175	175	0.22956500	0.23117600	
176	176	0.22940600	0.23108600	
177	177	0.22927100	0.23097100	
178	178	0.22925400	0.23090600	
179	179	0.22909200	0.23084000	
180	180	0.22912400	0.23083700	
181	181	0.22906300	0.23073300	
182	182	0.22890800	0.23068000	
183	183	0.22902500	0.23083200	
184	184	0.22902900	0.23073300	
185	185	0.22902200	0.23064900	
186	186	0.22893500	0.23069400	
187	187	0.22885300	0.23053400	
188	188	0.22874900	0.23041200	
189	189	0.22863900	0.23036700	
190	190	0.22856800	0.23027200	
191	191	0.22847200	0.23033000	
192	192	0.22839200	0.23010200	
193	193	0.22844700	0.23021100	
194	194	0.22844200	0.23022400	
195	195	0.22828500	0.22999700	
196	196	0.22821200	0.22995600	
197	197	0.22820900	0.23003900	
198	198	0.22817700	0.22996000	
199	199	0.22826800	0.23005100	
200	200	0.22830900	0.23033200	
201	201	0.22873400	0.23001700	
202	202	0.22816200	0.22988500	
203	203	0.21897900	0.23773200	
204	204	0.22570500	0.23658300	
205	205	0.23532600	0.22968800	
206	206	0.22821000	0.22970000	
207	207	0.22788900	0.22952400	
208	208	0.22778500	0.22949500	
209	209	0.22772000	0.22947000	
210	210	0.22782900	0.22950400	
211	211	0.22767200	0.22940400	
212	212	0.22769000	0.22945700	
213	213	0.22766900	0.22938300	
214	214	0.22754600	0.22931000	
215	215	0.22750400	0.22932500	
216	216	0.22757300	0.22919800	
217	217	0.22726800	0.22895000	
218	218	0.22715900	0.22895500	
219	219	0.22725400	0.22904600	
220	220	0.22726500	0.22899000	
221	221	0.22723000	0.22896600	
222	222	0.22720700	0.22889900	
223	223	0.22711000	0.22886800	
224	224	0.22713300	0.22884000	
225	225	0.22715200	0.22888600	
226	226	0.22718100	0.22882700	
227	227	0.22696000	0.22866600	
228	228	0.22683800	0.22857300	
229	229	0.22689000	0.22856400	
230	230	0.22679200	0.22841600	
231	231	0.22658500	0.22835800	
232	232	0.22656700	0.22830800	
233	233	0.22649500	0.22820200	
234	234	0.22641400	0.22816900	
235	235	0.22640700	0.22818400	
236	236	0.22646800	0.22812100	
237	237	0.22631300	0.22803400	
238	238	0.22635600	0.22810300	
239	239	0.22633500	0.22798300	
240	240	0.22625700	0.22793800	
241	241	0.22617700	0.22792900	
242	242	0.22622700	0.22789500	
243	243	0.22610600	0.22774300	
244	244	0.22594000	0.22769700	
245	245	0.22600200	0.22776100	
246	246	0.22595700	0.22763700	
247	247	0.22562300	0.22729700	
248	248	0.22558300	0.22734300	
249	249	0.22566700	0.22753300	
250	250	0.22571800	0.22721700	
251	251	0.22546400	0.22719300	
252	252	0.22543400	0.22714200	
253	253	0.22556000	0.22710300	
254	254	0.22528100	0.22697900	
255	255	0.22526000	0.22696300	
256	256	0.22537200	0.22690700	
257	257	0.22509200	0.22681500	
258	258	0.22502000	0.22677900	
259	259	0.22504400	0.22669500	
260	260	0.22473400	0.22644800	
261	261	0.22476600	0.22653700	
262	262	0.22474400	0.22644100	
263	263	0.22465100	0.22637500	
264	264	0.22453500	0.22631900	
265	265	0.22461900	0.22635300	
266	266	0.22466500	0.22626900	
267	267	0.22434700	0.22606900	
268	268	0.22434300	0.22607600	
269	269	0.22444100	0.22604900	
270	270	0.22415300	0.22581900	
271	271	0.22404300	0.22578600	
272	272	0.22414100	0.22587200	
273	273	0.22400700	0.22568500	
274	274	0.22404000	0.22579200	
275	275	0.22395100	0.22574300	
276	276	0.22405400	0.22566500	
277	277	0.22379100	0.22555800	
278	278	0.22391400	0.22570300	
279	279	0.22397500	0.22555700	
280	280	0.22364200	0.22533900	
281	281	0.22365900	0.22542100	
282	282	0.22373800	0.22534200	
283	283	0.22350200	0.22517700	
284	284	0.22347200	0.22522200	
285	285	0.22356700	0.22523300	
286	286	0.22346000	0.22511800	
287	287	0.22340200	0.22514100	
